Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7
Cheese,Tomatoes,Milk,Fish,Oranges,Bananas,Beef
Carrots,Oranges,Bread,Juice,,,
Tomatoes,Potatoes,Grapes,,,,
Cookies,Grapes,,,,,
Milk,Cheese,Bananas,Juice,,,
Potatoes,Bread,Cheese,Grapes,Apples,Cereal,
Milk,Cheese,Yogurt,Chicken,,,
Chips,Potatoes,Chicken,Yogurt,,,
Cheese,Tomatoes,Cereal,Bananas,Grapes,Milk,
Milk,Cheese,Rice,Pasta,Bananas,Onions,Cookies
Juice,Potatoes,,,,,
Potatoes,Juice,Cheese,Carrots,Rice,Chips,
Chicken,Potatoes,Tomatoes,Carrots,Pasta,Butter,Bananas
Juice,Tomatoes,Chips,Apples,Yogurt,,
Carrots,Tomatoes,Pasta,Bread,Cookies,Soda,
Milk,Cheese,Yogurt,,,,
Potatoes,Beef,Chips,Water,Bananas,Rice,Fish
Apples,Juice,Eggs,Carrots,Rice,Yogurt,Potatoes
Cookies,Oranges,,,,,
Milk,Cheese,Bananas,Butter,Bread,Milk,Chips
Yogurt,Cookies,Eggs,Beef,Chicken,,
Milk,Cheese,Bananas,Tomatoes,Fish,Juice,Oranges
Soda,Water,Bread,,,,
Cookies,Chicken,,,,,
Apples,Water,Rice,,,,
Milk,Pasta,Oranges,Cheese,Beef,,
Beef,Juice,Rice,,,,
Milk,Cheese,Bananas,Cookies,Rice,Chicken,
Beef,Apples,Fish,Cookies,Grapes,Oranges,
Milk,Cheese,Bananas,Soda,Oranges,Cookies,Beef
Water,Carrots,,,,,
Grapes,Potatoes,Pasta,,,,
Butter,Oranges,,,,,
Milk,Cheese,Bananas,Eggs,Chicken,,
Potatoes,Pasta,Beef,Chicken,Milk,,
Chicken,Tomatoes,Cookies,,,,
Milk,Cheese,Bananas,Tomatoes,Fish,Chips,
Carrots,Cookies,Tomatoes,Chicken,,,
Chips,Cookies,Pasta,Yogurt,Oranges,Fish,
Milk,Cheese,Bananas,,,,
Tomatoes,Potatoes,,,,,
Juice,Tomatoes,Apples,Beef,Butter,Yogurt,Pasta
Tomatoes,Cereal,,,,,
Juice,Bread,Eggs,Soda,Chicken,Butter,
Apples,Milk,Grapes,Tomatoes,Potatoes,,
Beef,Potatoes,Cookies,,,,
Milk,Cheese,Bananas,Eggs,Fish,,
Chips,Pasta,,,,,
Onions,Oranges,,,,,
Eggs,Soda,Milk,Bread,Oranges,Bananas,Juice
Butter,Oranges,Cookies,Fish,Cheese,Cereal,
Beef,Water,Grapes,,,,
Apples,Yogurt,Chips,Water,,,
Cookies,Apples,,,,,
Milk,Cheese,Bananas,Carrots,,,
Juice,Tomatoes,Chips,Bananas,Eggs,Cereal,
Milk,Cheese,Bananas,Carrots,Yogurt,Water,Cereal
Onions,Pasta,,,,,
Juice,Onions,Eggs,Rice,Soda,,
Bread,Chicken,Fish,Cheese,,,
Onions,Soda,Beef,Water,Butter,,
Apples,Chips,Rice,Soda,Grapes,,
Pasta,Fish,Beef,Chicken,Cereal,Grapes,
Oranges,Eggs,Grapes,Beef,,,
Milk,Cheese,Bananas,,,,
Juice,Tomatoes,Potatoes,Bread,Fish,Water,
Fish,Bananas,Onions,,,,
Potatoes,Grapes,Yogurt,Water,,,
Pasta,Bread,Rice,Bananas,,,
Oranges,Chips,,,,,
Milk,Cheese,Bananas,Oranges,Water,,
Soda,Water,Fish,Beef,Bread,,
Carrots,Oranges,,,,,
Milk,Cheese,Bananas,Juice,Cereal,,
Fish,Pasta,Rice,Onions,,,
Chips,Pasta,Potatoes,Onions,Water,,
Milk,Cheese,Bananas,Cheese,Chips,,
Milk,Cheese,Bananas,,,,
Cookies,Water,Apples,Bananas,Juice,Fish,
Chips,Cereal,Cookies,Rice,,,
Carrots,Cheese,Bananas,Cookies,Oranges,Onions,
Carrots,Bread,Water,,,,
Milk,Cheese,Bananas,Water,Pasta,Carrots,
Butter,Soda,Milk,Cheese,Bananas,Cereal,Carrots
Fish,Beef,Potatoes,Apples,Milk,,
Fish,Cheese,Eggs,Tomatoes,,,
Eggs,Cereal,Soda,Juice,Milk,,
Butter,Cereal,Carrots,,,,
Oranges,Cheese,,,,,
Cookies,Chicken,Yogurt,Water,Juice,Oranges,
Tomatoes,Beef,Chips,Carrots,Cereal,Chicken,
Cereal,Yogurt,Milk,Chips,,,
Cookies,Bananas,,,,,
Milk,Cheese,Bananas,Eggs,Apples,Oranges,Soda
Milk,Cheese,Bananas,Chicken,Beef,Yogurt,
Carrots,Milk,Oranges,Water,Beef,,
Juice,Oranges,,,,,
Soda,Cereal,Juice,Bananas,,,
Cheese,Pasta,Oranges,Soda,Butter,,
Butter,Eggs,Milk,Apples,,,
